;Lançamentos;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;Verificação;Data Lançamento;Tipo Lançamento;Codigo Custo;Banco/ Conta;Numero OP/ NF;Boleto;Fornecedor/ Cliente;Nº Cheque; Valor ;Data Vencimento; Observações; Valor Real ; Saldo ; DRE ; Centro de Custo ;Tipo;Data Real;Antecipação;Pagamento;Ano;Mês;Custo;Mês Lanç.;Ano Lanç.
;Sim;17/11/2025;Materia-prima;7.300;Itau 84170 L;105553;105553/2;Lahuman;; R$7.236,81 ;02/01/2026;; R$7.236,81 ; R$373.367,42 ;Custo Produto (CMV);LINHAS/ FIOS;Saida;02/01/2026;0;Não;2025;11;Não;11;2025
;Sim;01/12/2025;Materia-prima;7.100;Itau 84170 L;28012;28012/1;Lahuman;; R$5.900,00 ;02/01/2026;; R$5.900,00 ; R$373.367,42 ;Custo Produto (CMV);TECIDOS;Saida;02/01/2026;0;Não;2025;12;Não;12;2025
;Sim;12/12/2025;Manutenção Predial;6.100;Itau 84170 L;01/06;01/06;A.M. Esquadria NF 10;; R$1.240,00 ;05/01/2026;Cartão de Crédito - Débito Automático; R$1.240,00 ; R$462.457,87 ;Outras;PREDIAL;Saida;05/01/2026;0;Sim;2026;1;Sim;12;2025
;Sim;09/12/2025;Papelaria e similares;2.103;Itau 84170 L;27151;27151/u;Abecedarium;; R$526,90 ;05/01/2026;; R$526,90 ; R$462.457,87 ;Outras;PAPELARIA E SIMILARES;Saida;05/01/2026;0;Sim;2026;1;Sim;12;2025
;Sim;16/12/2025;Combustível;4.402;Itau 84170 L;2703;2703/u;Auto Posto Guaçu Brasil;; R$279,42 ;05/01/2026;; R$279,42 ; R$462.457,87 ;Outras;COMBUSTIVEL/ PEDÁGIO;Saida;05/01/2026;0;Sim;2026;1;Sim;12;2025
;Sim;16/12/2025;Combustível;4.402;Itau 84170 L;2798;2798/u;Auto Posto Guaçu Brasil;; R$244,02 ;05/01/2026;; R$244,02 ; R$462.457,87 ;Outras;COMBUSTIVEL/ PEDÁGIO;Saida;05/01/2026;0;Sim;2026;1;Sim;12;2025
;Sim;17/12/2025;Combustível;4.402;Itau 84170 L;2979;2979/u;Auto Posto Guaçu Brasil;; R$349,51 ;05/01/2026;; R$349,51 ; R$462.457,87 ;Outras;COMBUSTIVEL/ PEDÁGIO;Saida;05/01/2026;0;Sim;2026;1;Sim;12;2025
;Sim;19/12/2025;Combustível;4.402;Itau 84170 L;3319;3319/u;Auto Posto Guaçu Brasil;; R$331,43 ;05/01/2026;; R$331,43 ; R$462.457,87 ;Outras;COMBUSTIVEL/ PEDÁGIO;Saida;05/01/2026;0;Sim;2026;1;Sim;12;2025
;Sim;19/12/2025;Combustível;4.402;Itau 84170 L;3360;3360/u;Auto Posto Guaçu Brasil;; R$337,73 ;05/01/2026;; R$337,73 ; R$462.457,87 ;Outras;COMBUSTIVEL/ PEDÁGIO;Saida;05/01/2026;0;Sim;2026;1;Sim;12;2025
;Sim;20/12/2025;Combustível;4.402;Itau 84170 L;3450;3450/u;Auto Posto Guaçu Brasil;; R$186,01 ;05/01/2026;; R$186,01 ; R$462.457,87 ;Outras;COMBUSTIVEL/ PEDÁGIO;Saida;05/01/2026;0;Sim;2026;1;Sim;12;2025
